最速下降法:
第1次迭代：f(x_i)=7.711096854858360e-01, x_1=1.612591019188414e-01,x_2=0.000000000000000e+00
第2次迭代：f(x_i)=7.034854821479245e-01, x_1=1.612595868589743e-01,x_2=2.600076597877941e-02
第3次迭代：f(x_i)=6.567317095923028e-01, x_1=2.114154872203995e-01,x_2=2.602402157940364e-02
第4次迭代：f(x_i)=6.218804516219628e-01, x_1=2.114060286676165e-01,x_2=4.469246621062901e-02
第5次迭代：f(x_i)=5.935326073562391e-01, x_1=2.451327011583212e-01,x_2=4.469264902924703e-02
第6次迭代：f(x_i)=5.698248441144997e-01, x_1=2.451325654735406e-01,x_2=6.009198945436751e-02
第7次迭代：f(x_i)=5.492783609292570e-01, x_1=2.711417510451330e-01,x_2=6.008504831275174e-02
第8次迭代：f(x_i)=5.312282289564447e-01, x_1=2.711459492112012e-01,x_2=7.352413227300689e-02
第9次迭代：f(x_i)=5.150615514216446e-01, x_1=2.925617529961299e-01,x_2=7.351236354724842e-02
第10次迭代：f(x_i)=5.004602654977537e-01, x_1=2.925678371315041e-01,x_2=8.559802967213140e-02
第11次迭代：f(x_i)=4.871048690554544e-01, x_1=3.109171659356229e-01,x_2=8.559260867770623e-02
第12次迭代：f(x_i)=4.748312279970999e-01, x_1=3.109200141969743e-01,x_2=9.667466521642326e-02
第13次迭代：f(x_i)=4.634604199856996e-01, x_1=3.270280951516070e-01,x_2=9.666669640741181e-02
第14次迭代：f(x_i)=4.528836742837606e-01, x_1=3.270336753228702e-01,x_2=1.069521837451329e-01
第15次迭代：f(x_i)=4.429779797508412e-01, x_1=3.414553051176651e-01,x_2=1.069497004017557e-01
第16次迭代：f(x_i)=4.336800544027878e-01, x_1=3.414561107801757e-01,x_2=1.165903416410039e-01
第17次迭代：f(x_i)=4.249076699766416e-01, x_1=3.545428469762796e-01,x_2=1.165941855982637e-01
第18次迭代：f(x_i)=4.166183929242955e-01, x_1=3.545401693956720e-01,x_2=1.256986590734520e-01
第19次迭代：f(x_i)=4.087586147491891e-01, x_1=3.665237855616405e-01,x_2=1.256987939411345e-01
第20次迭代：f(x_i)=4.012913827722290e-01, x_1=3.665243631397369e-01,x_2=1.343384453057118e-01
第21次迭代：f(x_i)=3.941721873706262e-01, x_1=3.776031401432072e-01,x_2=1.343413550866581e-01
第22次迭代：f(x_i)=3.873791304776912e-01, x_1=3.776021124906994e-01,x_2=1.425823471353802e-01
第23次迭代：f(x_i)=3.808796162696277e-01, x_1=3.879119609806413e-01,x_2=1.425840174316109e-01
第24次迭代：f(x_i)=3.746538084792587e-01, x_1=3.879102937787238e-01,x_2=1.504739811646332e-01
第25次迭代：f(x_i)=3.686785600078529e-01, x_1=3.975565838672085e-01,x_2=1.504746349937607e-01
第26次迭代：f(x_i)=3.629378555459617e-01, x_1=3.975567616820767e-01,x_2=1.580501500383221e-01
第27次迭代：f(x_i)=3.574110540308938e-01, x_1=4.066337774437102e-01,x_2=1.580520016529628e-01
